country,iso2,admin1,iuName,iuId,iuCode,year,pgm,popTotal,popPreSac,popSac,popAdults,endLf,popReqPc,popNoTx,mda,epiEffMda,epiEffMdaN,cumMda,mdaScheme,mdaDrugs,ia,mdaLast,surveyLast,endemicityId
Nigeria,NG,"Akwa Ibom","Ibesikpo Asutan",36383,NGA0377736383,2021,1.0237,198359,31737,55541,103147,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom","Ibesikpo Asutan",36383,NGA0377736383,2022,1.0237,203058,32489,56857,105591,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom",Ikono,36386,NGA0377736386,2023,1.0237,199989,31997,55997,103995,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom","Ikot Abasi",36387,NGA0377736387,2023,1.0237,200169,32027,56047,104088,"Endemic (under post-intervention surveillance)",0,200169,0,0,0,14,NR,NR,NR,2022,2027,3
Nigeria,NG,"Akwa Ibom",Itu,36390,NGA0377736390,2024,1.0237,197166,31547,55207,102527,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom",Itu,36390,NGA0377736390,2025,1.0237,201837,32294,56515,104956,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom","Nsit Ubiom",36395,NGA0377736395,2024,1.0237,199025,31844,55728,103493,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom","Nsit Ubiom",36395,NGA0377736395,2025,1.0237,203740,32598,57048,105945,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom",Onna,36398,NGA0377736398,2026,1.0237,200666,32108,56186,104346,"Endemic (under post-intervention surveillance)",0,200666,0,0,0,12,NR,NR,TAS3,2021,2026,3
Nigeria,NG,"Akwa Ibom",Ukanafun,36402,NGA0377736402,2024,1.0237,197166,31547,55207,102527,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom",Ukanafun,36402,NGA0377736402,2025,1.0237,201837,32294,56515,104956,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom",Uruan,36403,NGA0377736403,2027,1.0237,196973,31515,55152,102425,"Endemic (under post-intervention surveillance)",0,196973,0,0,0,9,NR,NR,NR,2021,2026,3
Nigeria,NG,"Akwa Ibom",Uruan,36403,NGA0377736403,2028,1.0237,201639,32262,56459,104851,"Endemic (under post-intervention surveillance)",0,201639,0,0,0,9,NR,NR,NR,2021,2026,3
Nigeria,NG,Anambra,"Awka North",36410,NGA0377836410,2030,1.0237,201140,32183,56319,104591,"Endemic (under post-intervention surveillance)",0,201140,0,0,0,10,NR,NR,Surveillance,2022,2027,3
Nigeria,NG,Anambra,"Onitsha North",36422,NGA0377836422,2025,1.0237,198515,31762,55584,103229,"Endemic (under post-intervention surveillance)",0,198515,0,0,0,7,NR,NR,NR,2022,2027,3
Nigeria,NG,Anambra,"Onitsha North",36422,NGA0377836422,2026,1.0237,203218,32514,56901,105674,"Endemic (under post-intervention surveillance)",0,203218,0,0,0,7,NR,NR,NR,2022,2027,3
Nigeria,NG,Anambra,"Onitsha South",36423,NGA0377836423,2021,1.0237,197723,31636,55362,102816,"Endemic (MDA not delivered)",197723,0,0,0,4,5,"MDA 4",ALBx2,NR,2023,2028,26
Nigeria,NG,Anambra,"Onitsha South",36423,NGA0377836423,2022,1.0237,202407,32385,56674,105252,Endemic,202407,0,1,1,5,6,"MDA 4",ALBx2,pre-TAS,2023,2028,26
Nigeria,NG,Bauchi,Jama'are,36437,NGA0377936437,2028,1.0237,200920,32147,56257,104479,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Bauchi,Warji,36445,NGA0377936445,2029,1.0237,200161,32025,56046,104084,"Endemic (under post-intervention surveillance)",0,200161,0,0,0,11,NR,NR,Surveillance,2021,2026,3
Nigeria,NG,Bayelsa,Nembe,36450,NGA0378036450,2023,1.0237,198514,31762,55584,103228,Endemic,198514,0,1,1,4,4,"MDA 1",ALB_IVM,NR,2025,2030,26
Nigeria,NG,Bayelsa,Nembe,36450,NGA0378036450,2024,1.0237,203217,32514,56901,105673,Endemic,203217,0,1,1,5,5,"MDA 1",ALB_IVM,pre-TAS,2025,2030,26
Nigeria,NG,Benue,Agatu,36456,NGA0378136456,2028,1.0237,196905,31506,55134,102392,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Benue,Agatu,36456,NGA0378136456,2029,1.0237,201570,32252,56440,104818,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Benue,"Gwer West",36462,NGA0378136462,2026,1.0237,198668,31788,55627,103307,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Benue,"Gwer West",36462,NGA0378136462,2027,1.0237,203374,32541,56945,105754,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Benue,Ogbadibo,36469,NGA0378136469,2024,1.0237,199764,31963,55933,103877,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Borno,Askir/Uba,36479,NGA0378236479,2021,1.0237,199791,31967,55941,103891,"Endemic (MDA not delivered)",199791,0,0,0,1,1,"MDA 1",ALB_IVM,NR,2026,2031,26
Nigeria,NG,Borno,Hawul,36489,NGA0378236489,2027,1.0237,200326,32052,56092,104169,"Endemic (under post-intervention surveillance)",0,200326,0,0,0,6,NR,NR,NR,2026,2031,3
Nigeria,NG,Borno,Magumeri,36497,NGA0378236497,2021,1.0237,202887,32462,56808,105501,"Endemic (MDA not delivered)",202887,0,0,0,0,1,"MDA 1",ALB_IVM,NR,2027,2032,26
Nigeria,NG,Borno,Marte,36499,NGA0378236499,2024,1.0237,200793,32126,56222,104412,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Borno,Mobbar,36500,NGA0378236500,2028,1.0237,198833,31813,55673,103393,"Endemic (under post-intervention surveillance)",0,198833,0,0,0,7,NR,NR,NR,2027,2032,3
Nigeria,NG,Borno,Mobbar,36500,NGA0378236500,2029,1.0237,203543,32567,56992,105842,"Endemic (under post-intervention surveillance)",0,203543,0,0,0,7,NR,NR,TAS2,2027,2032,3
Nigeria,NG,"Cross River",Obanliku,36516,NGA0378336516,2030,1.0237,197059,31529,55177,102469,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Delta,"Aniocha South",36524,NGA0378436524,2021,1.0237,203427,32548,56960,105782,"Endemic (under MDA)",203427,0,1,1,6,11,"MDA 1",ALB_IVM,TAS1,2021,2026,26
Nigeria,NG,Delta,Okpe,36535,NGA0378436535,2023,1.0237,197146,31543,55201,102515,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Delta,Okpe,36535,NGA0378436535,2024,1.0237,201816,32290,56509,104944,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Delta,"Oshimili North",36536,NGA0378436536,2029,1.0237,201208,32192,56339,104629,"Endemic (under post-intervention surveillance)",0,201208,0,0,0,12,NR,NR,NR,2023,2028,3
Nigeria,NG,Delta,Ukwuani,36543,NGA0378436543,2027,1.0237,200452,32072,56127,104236,"Endemic (under post-intervention surveillance)",0,200452,0,0,0,12,NR,NR,TAS3,2022,2027,3
Nigeria,NG,Delta,"Warii North",36545,NGA0378436545,2021,1.0237,198647,31784,55621,103296,"Endemic (under MDA)",198647,0,1,1,3,6,"MDA 1",ALB_IVM,NR,2024,2029,26
Nigeria,NG,Delta,"Warii North",36545,NGA0378436545,2022,1.0237,203353,32537,56939,105743,Endemic,203353,0,1,1,4,7,"MDA 1",ALB_IVM,NR,2024,2029,26
Nigeria,NG,Delta,"Warri South West",36547,NGA0378436547,2028,1.0237,198879,31820,55686,103418,"Endemic (under post-intervention surveillance)",0,198879,0,0,0,10,NR,NR,NR,2025,2030,3
