year,iu_code,prevalence (%),endemicity,therapeutic_coverage,total_population,population_requiring_treatment,population_treated,epidemiological_coverage (% of the population that required treatment and recieved such),mda_rounds,effective_mda_rounds (≥65% coverage),effective_mda_classification (≥65% coverage)
2014,NGA0378136456,,0.0,0.0,140578.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378136456,,0.0,0.0,144272.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378136456,,0.0,0.0,147879.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378136456,,0.0,0.0,151576.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0378136456,,0.0,0.0,155366.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0378136456,,0.0,0.0,159250.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0378136456,,0.0,0.0,162920.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0378136456,,0.0,0.0,167139.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0378136456,,0.0,0.0,171495.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0378136456,,0.0,0.0,175782.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,NGA0378136457,0.0,2.0,3.0,117751.0,117751.0,71200.0,60.47,1.0,1.0,1.0
2015,NGA0378136457,,2.0,1.0,120846.0,120846.0,0.0,0.0,1.0,1.0,0.0
2016,NGA0378136457,,2.0,1.0,123867.0,123867.0,0.0,0.0,1.0,1.0,0.0
2017,NGA0378136457,,2.0,3.0,126964.0,126964.0,103416.0,81.45,2.0,2.0,1.0
2018,NGA0378136457,,2.0,3.0,130138.0,130138.0,87214.0,67.02,3.0,3.0,1.0
2019,NGA0378136457,,2.0,3.0,133392.0,133392.0,86426.0,64.79,4.0,4.0,1.0
2020,NGA0378136457,,2.0,3.0,136466.0,136466.0,90908.0,66.62,5.0,5.0,1.0
2021,NGA0378136457,,2.0,1.0,140000.0,140000.0,0.0,0.0,5.0,5.0,0.0
2022,NGA0378136457,,2.0,3.0,143648.0,143648.0,96379.0,67.09,6.0,6.0,1.0
2023,NGA0378136457,,2.0,3.0,147239.0,147239.0,116074.0,78.83,7.0,7.0,1.0
2014,NGA0378136458,,0.0,0.0,247904.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378136458,,0.0,0.0,254420.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378136458,,0.0,0.0,260780.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378136458,,0.0,0.0,267300.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0378136458,,0.0,0.0,273982.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0378136458,,0.0,0.0,280832.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0378136458,,0.0,0.0,287304.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0378136458,,0.0,0.0,294745.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0378136458,,0.0,0.0,302425.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0378136458,,0.0,0.0,309986.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,NGA0378136459,4.0,,,,,,,,,
2014,NGA0378136459,,2.0,1.0,436782.0,436782.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378136459,,2.0,1.0,448262.0,448262.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378136459,,2.0,1.0,459468.0,459468.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378136459,,2.0,3.0,470955.0,470955.0,314617.0,66.8,1.0,1.0,1.0
2018,NGA0378136459,,2.0,3.0,482729.0,482729.0,316434.0,65.55,2.0,2.0,1.0
2019,NGA0378136459,,2.0,3.0,494797.0,494797.0,309001.0,62.45,3.0,3.0,1.0
2020,NGA0378136459,,2.0,3.0,506200.0,506200.0,330108.0,65.21,4.0,4.0,1.0
2021,NGA0378136459,,2.0,1.0,519311.0,519311.0,0.0,0.0,4.0,4.0,0.0
2022,NGA0378136459,,2.0,3.0,532843.0,532843.0,339976.0,63.8,5.0,5.0,1.0
2023,NGA0378136459,,2.0,3.0,546164.0,546164.0,425664.0,77.94,6.0,6.0,1.0
2014,NGA0378136460,,2.0,1.0,233153.0,233153.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378136460,,2.0,1.0,239281.0,239281.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378136460,,2.0,1.0,245263.0,245263.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378136460,,2.0,2.0,251394.0,251394.0,104702.0,41.65,1.0,0.0,0.0
2018,NGA0378136460,,2.0,3.0,257679.0,257679.0,172389.0,66.9,2.0,1.0,1.0
2019,NGA0378136460,,2.0,3.0,264121.0,264121.0,170510.0,64.56,3.0,2.0,1.0
2020,NGA0378136460,,2.0,3.0,270208.0,270208.0,180847.0,66.93,4.0,3.0,1.0
2021,NGA0378136460,,2.0,1.0,277207.0,277207.0,0.0,0.0,4.0,3.0,0.0
2022,NGA0378136460,,2.0,3.0,284430.0,284430.0,193269.0,67.95,5.0,4.0,1.0
2023,NGA0378136460,,2.0,3.0,291541.0,291541.0,228749.0,78.46,6.0,5.0,1.0
2014,NGA0378136461,,2.0,1.0,199139.0,199139.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378136461,,2.0,1.0,204373.0,204373.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378136461,,2.0,1.0,209482.0,209482.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378136461,,2.0,2.0,214719.0,214719.0,61592.0,28.68,1.0,0.0,0.0
2018,NGA0378136461,,2.0,2.0,220087.0,220087.0,100509.0,45.67,2.0,0.0,0.0
2019,NGA0378136461,,2.0,2.0,225589.0,225589.0,114712.0,50.85,3.0,0.0,0.0
2020,NGA0378136461,,2.0,3.0,230788.0,230788.0,154388.0,66.9,4.0,1.0,1.0
2021,NGA0378136461,,2.0,1.0,236766.0,236766.0,0.0,0.0,4.0,1.0,0.0
2022,NGA0378136461,,2.0,3.0,242935.0,242935.0,163217.0,67.19,5.0,2.0,1.0
2023,NGA0378136461,,2.0,3.0,249008.0,249008.0,194897.0,78.27,6.0,3.0,1.0
2014,NGA0378136462,,0.0,0.0,148636.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378136462,,0.0,0.0,152542.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378136462,,0.0,0.0,156356.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378136462,,0.0,0.0,160265.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0378136462,,0.0,0.0,164271.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0378136462,,0.0,0.0,168378.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0378136462,,0.0,0.0,172259.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0378136462,,0.0,0.0,176720.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0378136462,,0.0,0.0,181325.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0378136462,,0.0,0.0,185858.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,NGA0378136463,,2.0,3.0,273455.0,273455.0,192845.0,70.52,1.0,1.0,1.0
2015,NGA0378136463,,2.0,3.0,280642.0,280642.0,198756.0,70.82,2.0,2.0,1.0
2016,NGA0378136463,,2.0,3.0,287658.0,287658.0,172376.0,59.92,3.0,3.0,1.0
2017,NGA0378136463,,2.0,3.0,294849.0,294849.0,236282.0,80.14,4.0,4.0,1.0
2018,NGA0378136463,,2.0,2.0,302221.0,302221.0,107446.0,35.55,5.0,4.0,0.0
2019,NGA0378136463,,2.0,3.0,309776.0,309776.0,204326.0,65.96,6.0,5.0,1.0
2020,NGA0378136463,,2.0,3.0,316915.0,316915.0,209604.0,66.14,7.0,6.0,1.0
2021,NGA0378136463,,2.0,1.0,325123.0,325123.0,0.0,0.0,7.0,6.0,0.0
2022,NGA0378136463,,2.0,3.0,333595.0,333595.0,226856.0,68.0,8.0,7.0,1.0
2023,NGA0378136463,,2.0,3.0,341935.0,341935.0,268340.0,78.48,9.0,8.0,1.0
2014,NGA0378136464,,2.0,3.0,274616.0,274616.0,178168.0,64.88,1.0,1.0,1.0
2015,NGA0378136464,,2.0,3.0,281833.0,281833.0,196153.0,69.6,2.0,2.0,1.0
2016,NGA0378136464,,2.0,2.0,288879.0,288879.0,145180.0,50.26,3.0,2.0,0.0
2017,NGA0378136464,,2.0,3.0,296101.0,296101.0,197301.0,66.63,4.0,3.0,1.0
2018,NGA0378136464,,2.0,3.0,303504.0,303504.0,200482.0,66.06,5.0,4.0,1.0
2019,NGA0378136464,,2.0,3.0,311091.0,311091.0,201684.0,64.83,6.0,5.0,1.0
2020,NGA0378136464,,2.0,3.0,318261.0,318261.0,213531.0,67.09,7.0,6.0,1.0
2021,NGA0378136464,,2.0,1.0,326504.0,326504.0,0.0,0.0,7.0,6.0,0.0
2022,NGA0378136464,0.0,2.0,3.0,335011.0,335011.0,224050.0,66.88,8.0,7.0,1.0
2023,NGA0378136464,,2.0,1.0,343387.0,0.0,0.0,0.0,8.0,7.0,0.0
2014,NGA0378136465,,2.0,3.0,302634.0,302634.0,242231.0,80.04,1.0,1.0,1.0
2015,NGA0378136465,,2.0,3.0,310588.0,310588.0,229822.0,74.0,2.0,2.0,1.0
2016,NGA0378136465,,2.0,3.0,318353.0,318353.0,209992.0,65.96,3.0,3.0,1.0
2017,NGA0378136465,,2.0,3.0,326312.0,326312.0,216638.0,66.39,4.0,4.0,1.0
2018,NGA0378136465,,2.0,2.0,334470.0,334470.0,156535.0,46.8,5.0,4.0,0.0
2019,NGA0378136465,,2.0,3.0,342832.0,342832.0,226100.0,65.95,6.0,5.0,1.0
2020,NGA0378136465,,2.0,3.0,350732.0,350732.0,234055.0,66.73,7.0,6.0,1.0
2021,NGA0378136465,,2.0,1.0,359816.0,359816.0,0.0,0.0,7.0,6.0,0.0
2022,NGA0378136465,,2.0,3.0,369192.0,369192.0,242737.0,65.75,8.0,7.0,1.0
2023,NGA0378136465,,2.0,3.0,378422.0,378422.0,297488.0,78.61,9.0,8.0,1.0
2014,NGA0378136466,,2.0,2.0,205729.0,205729.0,102934.0,50.03,1.0,0.0,0.0
2015,NGA0378136466,,2.0,3.0,211137.0,211137.0,159876.0,75.72,2.0,1.0,1.0
2016,NGA0378136466,,2.0,2.0,216415.0,216415.0,88606.0,40.94,3.0,1.0,0.0
2017,NGA0378136466,,2.0,3.0,221825.0,221825.0,147469.0,66.48,4.0,2.0,1.0
2018,NGA0378136466,,2.0,3.0,227371.0,227371.0,150294.0,66.1,5.0,3.0,1.0
2019,NGA0378136466,,2.0,3.0,233055.0,233055.0,151588.0,65.04,6.0,4.0,1.0
2020,NGA0378136466,,2.0,3.0,238426.0,238426.0,158321.0,66.4,7.0,5.0,1.0
2021,NGA0378136466,,2.0,1.0,244601.0,244601.0,0.0,0.0,7.0,5.0,0.0
2022,NGA0378136466,0.0,2.0,3.0,250975.0,250975.0,164767.0,65.65,8.0,6.0,1.0
2023,NGA0378136466,,2.0,1.0,257249.0,0.0,0.0,0.0,8.0,6.0,0.0
2013,NGA0378136467,6.0,,,,,,,,,
2014,NGA0378136467,,2.0,1.0,361898.0,361898.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378136467,,2.0,1.0,371409.0,371409.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378136467,,2.0,1.0,380695.0,380695.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378136467,,2.0,3.0,390212.0,390212.0,217912.0,55.84,1.0,1.0,1.0
2018,NGA0378136467,,2.0,2.0,399967.0,399967.0,159659.0,39.92,2.0,1.0,0.0
2019,NGA0378136467,,2.0,3.0,409966.0,409966.0,255886.0,62.42,3.0,2.0,1.0
2020,NGA0378136467,,2.0,2.0,419415.0,419415.0,85885.0,20.48,4.0,2.0,0.0
2021,NGA0378136467,,2.0,1.0,430277.0,430277.0,0.0,0.0,4.0,2.0,0.0
2022,NGA0378136467,,2.0,3.0,441489.0,441489.0,260108.0,58.92,5.0,3.0,1.0
2023,NGA0378136467,,2.0,3.0,452526.0,452526.0,344847.0,76.2,6.0,4.0,1.0
2014,NGA0378136468,,2.0,3.0,120295.0,120295.0,69601.0,57.86,1.0,1.0,1.0
2015,NGA0378136468,,2.0,1.0,123456.0,123456.0,0.0,0.0,1.0,1.0,0.0
2016,NGA0378136468,,2.0,1.0,126543.0,126543.0,0.0,0.0,1.0,1.0,0.0
2017,NGA0378136468,0.0,2.0,2.0,129706.0,129706.0,63276.0,48.78,2.0,1.0,0.0
2018,NGA0378136468,,2.0,3.0,132949.0,132949.0,86485.0,65.05,3.0,2.0,1.0
2019,NGA0378136468,,2.0,3.0,136273.0,136273.0,88728.0,65.11,4.0,3.0,1.0
2020,NGA0378136468,,2.0,3.0,139413.0,139413.0,90892.0,65.2,5.0,4.0,1.0
2021,NGA0378136468,,2.0,1.0,143024.0,143024.0,0.0,0.0,5.0,4.0,0.0
2022,NGA0378136468,,2.0,3.0,146751.0,146751.0,93415.0,63.66,6.0,5.0,1.0
2023,NGA0378136468,,2.0,3.0,150420.0,150420.0,115082.0,76.51,7.0,6.0,1.0
2014,NGA0378136469,,0.0,0.0,156621.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378136469,,0.0,0.0,160737.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378136469,,0.0,0.0,164756.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378136469,,0.0,0.0,168875.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0378136469,,0.0,0.0,173097.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0378136469,,0.0,0.0,177424.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0378136469,,0.0,0.0,181513.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0378136469,,0.0,0.0,186214.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0378136469,,0.0,0.0,191066.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0378136469,,0.0,0.0,195843.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,NGA0378136470,,2.0,1.0,86985.0,86985.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378136470,,2.0,1.0,89271.0,89271.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378136470,,2.0,1.0,91503.0,91503.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378136470,,2.0,3.0,93791.0,93791.0,78010.0,83.17,1.0,1.0,1.0
2018,NGA0378136470,,2.0,3.0,96135.0,96135.0,63463.0,66.01,2.0,2.0,1.0
2019,NGA0378136470,,2.0,3.0,98539.0,98539.0,64292.0,65.25,3.0,3.0,1.0
2020,NGA0378136470,,2.0,3.0,100810.0,100810.0,67329.0,66.79,4.0,4.0,1.0
2021,NGA0378136470,,2.0,1.0,103421.0,103421.0,0.0,0.0,4.0,4.0,0.0
2022,NGA0378136470,,2.0,3.0,106115.0,106115.0,71762.0,67.63,5.0,5.0,1.0
2023,NGA0378136470,,2.0,3.0,108768.0,108768.0,84553.0,77.74,6.0,6.0,1.0
2014,NGA0378136471,,2.0,1.0,207157.0,207157.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378136471,,2.0,1.0,212601.0,212601.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378136471,,2.0,1.0,217916.0,217916.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378136471,,2.0,3.0,223364.0,223364.0,151886.0,68.0,1.0,1.0,1.0
2018,NGA0378136471,,2.0,2.0,228948.0,228948.0,117889.0,51.49,2.0,1.0,0.0
2019,NGA0378136471,,2.0,3.0,234672.0,234672.0,152595.0,65.02,3.0,2.0,1.0
2020,NGA0378136471,,2.0,3.0,240080.0,240080.0,157552.0,65.62,4.0,3.0,1.0
2021,NGA0378136471,,2.0,1.0,246299.0,246299.0,0.0,0.0,4.0,3.0,0.0
2022,NGA0378136471,,2.0,3.0,252716.0,252716.0,171638.0,67.92,5.0,4.0,1.0
2023,NGA0378136471,,2.0,3.0,259034.0,259034.0,196142.0,75.72,6.0,5.0,1.0
2014,NGA0378136472,,0.0,0.0,214958.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378136472,,0.0,0.0,220608.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378136472,,0.0,0.0,226123.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378136472,,0.0,0.0,231776.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0378136472,,0.0,0.0,237571.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0378136472,,0.0,0.0,243510.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0378136472,,0.0,0.0,249122.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0378136472,,0.0,0.0,255574.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0378136472,,0.0,0.0,262233.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0378136472,,0.0,0.0,268789.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,NGA0378136473,2.0,,,,,,,,,
2014,NGA0378136473,,2.0,1.0,318416.0,318416.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378136473,,2.0,1.0,326785.0,326785.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378136473,,2.0,1.0,334955.0,334955.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378136473,,2.0,3.0,343328.0,343328.0,236127.0,68.78,1.0,1.0,1.0
2018,NGA0378136473,,2.0,3.0,351912.0,351912.0,232680.0,66.12,2.0,2.0,1.0
2019,NGA0378136473,,2.0,2.0,360709.0,360709.0,174218.0,48.3,3.0,2.0,0.0
2020,NGA0378136473,,2.0,3.0,369022.0,369022.0,245946.0,66.65,4.0,3.0,1.0
2021,NGA0378136473,,2.0,1.0,378580.0,378580.0,0.0,0.0,4.0,3.0,0.0
2022,NGA0378136473,,2.0,3.0,388445.0,388445.0,250866.0,64.58,5.0,4.0,1.0
2023,NGA0378136473,,2.0,3.0,398156.0,398156.0,307670.0,77.27,6.0,5.0,1.0
2014,NGA0378136474,,2.0,1.0,96735.0,96735.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378136474,,2.0,1.0,99277.0,99277.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378136474,,2.0,1.0,101759.0,101759.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378136474,,2.0,3.0,104303.0,104303.0,89217.0,85.54,1.0,1.0,1.0
2018,NGA0378136474,,2.0,3.0,106911.0,106911.0,70253.0,65.71,2.0,2.0,1.0
2019,NGA0378136474,,2.0,3.0,109583.0,109583.0,71372.0,65.13,3.0,3.0,1.0
2020,NGA0378136474,,2.0,3.0,112109.0,112109.0,75000.0,66.9,4.0,4.0,1.0
2021,NGA0378136474,,2.0,1.0,115012.0,115012.0,0.0,0.0,4.0,4.0,0.0
2022,NGA0378136474,,2.0,3.0,118009.0,118009.0,79803.0,67.62,5.0,5.0,1.0
2023,NGA0378136474,,2.0,3.0,120960.0,120960.0,95400.0,78.87,6.0,6.0,1.0
2014,NGA0378136475,,2.0,3.0,263978.0,263978.0,142300.0,53.91,1.0,1.0,1.0
2015,NGA0378136475,,2.0,3.0,270916.0,270916.0,198741.0,73.36,2.0,2.0,1.0
2016,NGA0378136475,,2.0,2.0,277689.0,277689.0,101172.0,36.43,3.0,2.0,0.0
2017,NGA0378136475,,2.0,3.0,284631.0,284631.0,188213.0,66.13,4.0,3.0,1.0
2018,NGA0378136475,,2.0,3.0,291747.0,291747.0,195340.0,66.96,5.0,4.0,1.0
2019,NGA0378136475,,2.0,3.0,299040.0,299040.0,196615.0,65.75,6.0,5.0,1.0
2020,NGA0378136475,,2.0,3.0,305932.0,305932.0,204098.0,66.71,7.0,6.0,1.0
2021,NGA0378136475,,2.0,1.0,313856.0,313856.0,0.0,0.0,7.0,6.0,0.0
2022,NGA0378136475,0.17,2.0,3.0,322034.0,322034.0,218021.0,67.7,8.0,7.0,1.0
2023,NGA0378136475,,2.0,1.0,330085.0,0.0,0.0,0.0,8.0,7.0,0.0
2014,NGA0378136476,,0.0,0.0,229188.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378136476,,0.0,0.0,235212.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378136476,,0.0,0.0,241092.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378136476,,0.0,0.0,247120.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0378136476,,0.0,0.0,253298.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0378136476,,0.0,0.0,259630.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0378136476,,0.0,0.0,265614.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0378136476,,0.0,0.0,272493.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0378136476,,0.0,0.0,279593.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0378136476,,0.0,0.0,286583.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,NGA0378136477,,0.0,0.0,280029.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378136477,,0.0,0.0,287388.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378136477,,0.0,0.0,294573.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378136477,,0.0,0.0,301937.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0378136477,,0.0,0.0,309486.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0378136477,,0.0,0.0,317223.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0378136477,,0.0,0.0,324534.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0378136477,,0.0,0.0,332939.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0378136477,,0.0,0.0,341614.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0378136477,,0.0,0.0,350155.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,NGA0378136770,6.0,,,,,,,,,
2014,NGA0378236478,,2.0,1.0,121907.0,121907.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378236478,,2.0,1.0,125111.0,125111.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378236478,,2.0,1.0,128239.0,128239.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378236478,10.0,2.0,1.0,131445.0,131445.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0378236478,,2.0,1.0,134731.0,134731.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0378236478,,2.0,1.0,138099.0,138099.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0378236478,,2.0,1.0,141282.0,141282.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0378236478,,2.0,1.0,144941.0,144941.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0378236478,,2.0,1.0,148718.0,148718.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0378236478,,2.0,1.0,152436.0,152436.0,0.0,0.0,0.0,0.0,0.0
2014,NGA0378236479,,2.0,1.0,168040.0,168040.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378236479,,2.0,1.0,172457.0,172457.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378236479,,2.0,1.0,176768.0,176768.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378236479,1.0,2.0,1.0,181187.0,181187.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0378236479,,2.0,1.0,185717.0,185717.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0378236479,,2.0,3.0,190360.0,190360.0,149663.0,78.62,1.0,1.0,1.0
2020,NGA0378236479,,2.0,1.0,194747.0,194747.0,0.0,0.0,1.0,1.0,0.0
2021,NGA0378236479,,2.0,1.0,199791.0,199791.0,0.0,0.0,1.0,1.0,0.0
2022,NGA0378236479,,0.0,0.0,204997.0,0.0,0.0,0.0,1.0,1.0,0.0
2023,NGA0378236479,,0.0,0.0,210122.0,0.0,0.0,0.0,1.0,1.0,0.0
2014,NGA0378236480,,0.0,0.0,328541.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378236480,,0.0,0.0,337176.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378236480,,0.0,0.0,345605.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378236480,,0.0,0.0,354245.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0378236480,,0.0,0.0,363101.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0378236480,,0.0,0.0,372179.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0378236480,,0.0,0.0,380756.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0378236480,,0.0,0.0,390618.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0378236480,,0.0,0.0,400796.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0378236480,,0.0,0.0,410816.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,NGA0378236481,,0.0,0.0,96107.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378236481,,0.0,0.0,98633.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378236481,,0.0,0.0,101099.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378236481,0.0,0.0,0.0,103626.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0378236481,,0.0,0.0,106217.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0378236481,,0.0,0.0,108872.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0378236481,,0.0,0.0,111381.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0378236481,,0.0,0.0,114266.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0378236481,,0.0,0.0,117243.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0378236481,,0.0,0.0,120174.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,NGA0378236482,,2.0,1.0,214259.0,214259.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378236482,,2.0,1.0,219890.0,219890.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378236482,,2.0,1.0,225387.0,225387.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378236482,2.22,2.0,1.0,231022.0,231022.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0378236482,,2.0,1.0,236797.0,236797.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0378236482,,2.0,3.0,242717.0,242717.0,188409.0,77.62,1.0,1.0,1.0
2020,NGA0378236482,,2.0,1.0,248311.0,248311.0,0.0,0.0,1.0,1.0,0.0
2021,NGA0378236482,,2.0,1.0,254742.0,254742.0,0.0,0.0,1.0,1.0,0.0
2022,NGA0378236482,,2.0,3.0,261380.0,261380.0,214313.0,81.99,2.0,2.0,1.0
2023,NGA0378236482,,2.0,1.0,267914.0,267914.0,0.0,0.0,2.0,2.0,0.0
2014,NGA0378236483,,0.0,0.0,80442.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0378236483,,0.0,0.0,82556.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0378236483,,0.0,0.0,84620.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0378236483,,0.0,0.0,86735.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0378236483,,0.0,0.0,88904.0,0.0,0.0,0.0,0.0,0.0,0.0
