year,iu_code,prevalence (%),endemicity,therapeutic_coverage,total_population,population_requiring_treatment,population_treated,epidemiological_coverage (% of the population that required treatment and recieved such),mda_rounds,effective_mda_rounds (≥65% coverage),effective_mda_classification (≥65% coverage)
2015,NGA0377636359,,2.0,2.0,222029.0,222029.0,92805.0,41.8,2.0,0.0,0.0
2016,NGA0377636359,,2.0,1.0,227580.0,227580.0,0.0,0.0,2.0,0.0,0.0
2017,NGA0377636359,,2.0,3.0,233269.0,233269.0,152613.0,65.42,3.0,1.0,1.0
2018,NGA0377636359,,2.0,3.0,239101.0,239101.0,157892.0,66.04,4.0,2.0,1.0
2019,NGA0377636359,,2.0,3.0,245079.0,245079.0,168808.0,68.88,5.0,3.0,1.0
2020,NGA0377636359,,2.0,3.0,250727.0,250727.0,201932.0,80.54,6.0,4.0,1.0
2021,NGA0377636359,,2.0,1.0,257221.0,257221.0,0.0,0.0,6.0,4.0,0.0
2022,NGA0377636359,,2.0,3.0,263923.0,263923.0,211142.0,80.0,7.0,5.0,1.0
2023,NGA0377636359,,2.0,1.0,270521.0,0.0,0.0,0.0,7.0,5.0,0.0
2014,NGA0377636360,,0.0,0.0,205806.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0377636360,,0.0,0.0,211215.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0377636360,,0.0,0.0,216496.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0377636360,,0.0,0.0,221908.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0377636360,,0.0,0.0,227456.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0377636360,,0.0,0.0,233142.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0377636360,,0.0,0.0,238515.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0377636360,,0.0,0.0,244693.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0377636360,,0.0,0.0,251068.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0377636360,,0.0,0.0,257345.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,NGA0377636361,,2.0,3.0,205011.0,205011.0,163305.0,79.66,1.0,1.0,1.0
2015,NGA0377636361,,2.0,3.0,210400.0,210400.0,117453.0,55.82,2.0,2.0,1.0
2016,NGA0377636361,,2.0,1.0,215660.0,215660.0,0.0,0.0,2.0,2.0,0.0
2017,NGA0377636361,,2.0,3.0,221051.0,221051.0,145283.0,65.72,3.0,3.0,1.0
2018,NGA0377636361,,2.0,3.0,226577.0,226577.0,157412.0,69.47,4.0,4.0,1.0
2019,NGA0377636361,,2.0,3.0,232242.0,232242.0,155127.0,66.8,5.0,5.0,1.0
2020,NGA0377636361,,2.0,3.0,237594.0,237594.0,190532.0,80.19,6.0,6.0,1.0
2021,NGA0377636361,,2.0,1.0,243748.0,243748.0,0.0,0.0,6.0,6.0,0.0
2022,NGA0377636361,0.0,2.0,1.0,250099.0,250099.0,0.0,0.0,6.0,6.0,0.0
2023,NGA0377636361,,2.0,1.0,256352.0,0.0,0.0,0.0,6.0,6.0,0.0
2014,NGA0377636362,,2.0,3.0,137268.0,137268.0,83747.0,61.01,1.0,1.0,1.0
2015,NGA0377636362,,2.0,3.0,140875.0,140875.0,97303.0,69.07,2.0,2.0,1.0
2016,NGA0377636362,,2.0,1.0,144397.0,144397.0,0.0,0.0,2.0,2.0,0.0
2017,NGA0377636362,,2.0,3.0,148007.0,148007.0,103888.0,70.19,3.0,3.0,1.0
2018,NGA0377636362,,2.0,3.0,151707.0,151707.0,101885.0,67.16,4.0,4.0,1.0
